,Bios,Movies,TV,Religion,Music,Sports,Books,Politics,Bigrams
10,"['tv', 'specialist', 'professional', 'coffee', 'scholar', 'introvert', 'thinker', 'creator', 'travel', 'advocate']",9,2,3,4,4,9,4,"[('coffee', 'scholar'), ('creator', 'travel'), ('introvert', 'thinker'), ('professional', 'coffee'), ('scholar', 'introvert'), ('specialist', 'professional'), ('thinker', 'creator'), ('travel', 'advocate'), ('tv', 'specialist')]"
11,"['twitter', 'guru', 'food', 'aficionado', 'subtly', 'charming', 'coffee', 'ninja', 'incurable', 'web', 'practitioner', 'travel', 'evangelist', 'hardcore', 'music', 'nerd', 'devoted', 'bacon', 'maven']",0,0,2,2,3,8,9,"[('aficionado', 'subtly'), ('bacon', 'maven'), ('charming', 'coffee'), ('coffee', 'ninja'), ('devoted', 'bacon'), ('evangelist', 'hardcore'), ('food', 'aficionado'), ('guru', 'food'), ('hardcore', 'music'), ('incurable', 'web'), ('music', 'nerd'), ('nerd', 'devoted'), ('ninja', 'incurable'), ('practitioner', 'travel'), ('subtly', 'charming'), ('travel', 'evangelist'), ('twitter', 'guru'), ('web', 'practitioner')]"
12,"['coffeeaholic', 'entrepreneur', 'explorer', 'internet', 'maven', 'twitter', 'evangelist', 'alcohol', 'geek']",1,6,4,4,0,1,3,"[('alcohol', 'geek'), ('coffeeaholic', 'entrepreneur'), ('entrepreneur', 'explorer'), ('evangelist', 'alcohol'), ('explorer', 'internet'), ('internet', 'maven'), ('maven', 'twitter'), ('twitter', 'evangelist')]"
13,"['pop', 'culture', 'trailblazer', 'zombie', 'nerd', 'travel', 'specialist', 'foodaholic', 'total', 'student', 'twitter', 'buff']",2,2,2,1,2,4,7,"[('culture', 'trailblazer'), ('foodaholic', 'total'), ('nerd', 'travel'), ('pop', 'culture'), ('specialist', 'foodaholic'), ('student', 'twitter'), ('total', 'student'), ('trailblazer', 'zombie'), ('travel', 'specialist'), ('twitter', 'buff'), ('zombie', 'nerd')]"
14,"['travel', 'buff', 'student', 'alcohol', 'trailblazer', 'passionate', 'social', 'medium', 'ninja', 'entrepreneur', 'incurable', 'writer']",0,4,3,9,6,4,5,"[('alcohol', 'trailblazer'), ('buff', 'student'), ('entrepreneur', 'incurable'), ('incurable', 'writer'), ('medium', 'ninja'), ('ninja', 'entrepreneur'), ('passionate', 'social'), ('social', 'medium'), ('student', 'alcohol'), ('trailblazer', 'passionate'), ('travel', 'buff')]"
15,"['avid', 'pop', 'culture', 'fanatic', 'social', 'medium', 'enthusiast', 'incurable', 'introvert', 'typical', 'web', 'maven', 'reader']",6,9,0,3,0,6,2,"[('avid', 'pop'), ('culture', 'fanatic'), ('enthusiast', 'incurable'), ('fanatic', 'social'), ('incurable', 'introvert'), ('introvert', 'typical'), ('maven', 'reader'), ('medium', 'enthusiast'), ('pop', 'culture'), ('social', 'medium'), ('typical', 'web'), ('web', 'maven')]"
16,"['amateur', 'alcohol', 'practitioner', 'food', 'nerd', 'proud', 'analyst', 'beer', 'guru', 'award-winning', 'coffee', 'fanatic', 'organizer']",9,1,5,1,6,3,1,"[('alcohol', 'practitioner'), ('amateur', 'alcohol'), ('analyst', 'beer'), ('award-winning', 'coffee'), ('beer', 'guru'), ('coffee', 'fanatic'), ('fanatic', 'organizer'), ('food', 'nerd'), ('guru', 'award-winning'), ('nerd', 'proud'), ('practitioner', 'food'), ('proud', 'analyst')]"
17,"['beer', 'practitioner', 'coffee', 'expert', 'tv', 'guru', 'social', 'medium', 'junkie', 'bacon', 'enthusiast', 'general', 'student', 'food', 'nerd']",1,4,8,1,3,5,3,"[('bacon', 'enthusiast'), ('beer', 'practitioner'), ('coffee', 'expert'), ('enthusiast', 'general'), ('expert', 'tv'), ('food', 'nerd'), ('general', 'student'), ('guru', 'social'), ('junkie', 'bacon'), ('medium', 'junkie'), ('practitioner', 'coffee'), ('social', 'medium'), ('student', 'food'), ('tv', 'guru')]"
18,"['gamer', 'twitter', 'fan', 'amateur', 'entrepreneur', 'writer', 'fall', 'lot', 'passionate', 'music', 'enthusiast', 'freelance', 'analyst']",2,9,3,6,6,2,9,"[('amateur', 'entrepreneur'), ('enthusiast', 'freelance'), ('entrepreneur', 'writer'), ('fall', 'lot'), ('fan', 'amateur'), ('freelance', 'analyst'), ('gamer', 'twitter'), ('lot', 'passionate'), ('music', 'enthusiast'), ('passionate', 'music'), ('twitter', 'fan'), ('writer', 'fall')]"
19,"['web', 'guru', 'extreme', 'internet', 'aficionado', 'subtly', 'charming', 'travel', 'maven', 'food', 'nerd', 'friend', 'animal', 'everywhere', 'devoted', 'pop', 'culture', 'fanatic']",6,5,2,4,8,8,5,"[('aficionado', 'subtly'), ('animal', 'everywhere'), ('charming', 'travel'), ('culture', 'fanatic'), ('devoted', 'pop'), ('everywhere', 'devoted'), ('extreme', 'internet'), ('food', 'nerd'), ('friend', 'animal'), ('guru', 'extreme'), ('internet', 'aficionado'), ('maven', 'food'), ('nerd', 'friend'), ('pop', 'culture'), ('subtly', 'charming'), ('travel', 'maven'), ('web', 'guru')]"
20,"['zombie', 'ninja', 'extreme', 'pop', 'culture', 'nerd', 'infuriatingly', 'humble', 'alcohol', 'fanatic', 'music', 'junkie', 'professional', 'analyst']",8,6,9,6,4,3,1,"[('alcohol', 'fanatic'), ('culture', 'nerd'), ('extreme', 'pop'), ('fanatic', 'music'), ('humble', 'alcohol'), ('infuriatingly', 'humble'), ('junkie', 'professional'), ('music', 'junkie'), ('nerd', 'infuriatingly'), ('ninja', 'extreme'), ('pop', 'culture'), ('professional', 'analyst'), ('zombie', 'ninja')]"
21,"['entrepreneur', 'friendly', 'zombie', 'aficionado', 'organizer', 'passionate', 'coffee', 'geek', 'avid', 'introvert', 'pop', 'culture', 'trailblazer']",6,5,8,5,7,9,8,"[('aficionado', 'organizer'), ('avid', 'introvert'), ('coffee', 'geek'), ('culture', 'trailblazer'), ('entrepreneur', 'friendly'), ('friendly', 'zombie'), ('geek', 'avid'), ('introvert', 'pop'), ('organizer', 'passionate'), ('passionate', 'coffee'), ('pop', 'culture'), ('zombie', 'aficionado')]"
22,"['lifelong', 'coffee', 'expert', 'friendly', 'twitter', 'practitioner', 'general', 'internet', 'geek', 'food', 'nerd', 'pop', 'culture', 'fanatic', 'thinker']",2,3,0,9,3,6,1,"[('coffee', 'expert'), ('culture', 'fanatic'), ('expert', 'friendly'), ('fanatic', 'thinker'), ('food', 'nerd'), ('friendly', 'twitter'), ('geek', 'food'), ('general', 'internet'), ('internet', 'geek'), ('lifelong', 'coffee'), ('nerd', 'pop'), ('pop', 'culture'), ('practitioner', 'general'), ('twitter', 'practitioner')]"
23,"['lifelong', 'internet', 'fanatic', 'hardcore', 'problem', 'solver', 'total', 'entrepreneur', 'extreme', 'food', 'geek', 'twitter', 'aficionado']",0,0,8,3,5,7,4,"[('entrepreneur', 'extreme'), ('extreme', 'food'), ('fanatic', 'hardcore'), ('food', 'geek'), ('geek', 'twitter'), ('hardcore', 'problem'), ('internet', 'fanatic'), ('lifelong', 'internet'), ('problem', 'solver'), ('solver', 'total'), ('total', 'entrepreneur'), ('twitter', 'aficionado')]"
24,"['zombieaholic', 'lifelong', 'music', 'junkie', 'writer', 'devoted', 'communicator', 'general', 'pop', 'culture', 'fan', 'unapologetic', 'gamer']",8,9,1,4,8,0,7,"[('communicator', 'general'), ('culture', 'fan'), ('devoted', 'communicator'), ('fan', 'unapologetic'), ('general', 'pop'), ('junkie', 'writer'), ('lifelong', 'music'), ('music', 'junkie'), ('pop', 'culture'), ('unapologetic', 'gamer'), ('writer', 'devoted'), ('zombieaholic', 'lifelong')]"
25,"['bacon', 'geek', 'freelance', 'food', 'aficionado', 'devoted', 'internet', 'fanatic', 'explorer', 'friendly', 'music', 'trailblazer', 'incurable', 'beer', 'buff']",0,1,4,1,5,7,3,"[('aficionado', 'devoted'), ('bacon', 'geek'), ('beer', 'buff'), ('devoted', 'internet'), ('explorer', 'friendly'), ('fanatic', 'explorer'), ('food', 'aficionado'), ('freelance', 'food'), ('friendly', 'music'), ('geek', 'freelance'), ('incurable', 'beer'), ('internet', 'fanatic'), ('music', 'trailblazer'), ('trailblazer', 'incurable')]"
26,"['devoted', 'alcohol', 'geek', 'problem', 'solver', 'general', 'analyst', 'award-winning', 'bacon', 'specialist', 'friendly', 'twitter', 'aficionado']",1,9,7,5,1,9,1,"[('alcohol', 'geek'), ('analyst', 'award-winning'), ('award-winning', 'bacon'), ('bacon', 'specialist'), ('devoted', 'alcohol'), ('friendly', 'twitter'), ('geek', 'problem'), ('general', 'analyst'), ('problem', 'solver'), ('solver', 'general'), ('specialist', 'friendly'), ('twitter', 'aficionado')]"
27,"['gamer', 'certified', 'thinker', 'reader', 'music', 'maven', 'total', 'social', 'medium', 'geek', 'introvert', 'typical', 'problem', 'solver', 'award-winning', 'explorer']",4,1,6,9,5,4,3,"[('award-winning', 'explorer'), ('certified', 'thinker'), ('gamer', 'certified'), ('geek', 'introvert'), ('introvert', 'typical'), ('maven', 'total'), ('medium', 'geek'), ('music', 'maven'), ('problem', 'solver'), ('reader', 'music'), ('social', 'medium'), ('solver', 'award-winning'), ('thinker', 'reader'), ('total', 'social'), ('typical', 'problem')]"
28,"['lifelong', 'coffee', 'fanatic', 'devoted', 'travel', 'enthusiast', 'introvert', 'troublemaker']",1,4,3,3,2,3,2,"[('coffee', 'fanatic'), ('devoted', 'travel'), ('enthusiast', 'introvert'), ('fanatic', 'devoted'), ('introvert', 'troublemaker'), ('lifelong', 'coffee'), ('travel', 'enthusiast')]"
29,"['amateur', 'twitter', 'expert', 'certified', 'travel', 'nerd', 'music', 'buff', 'proud', 'zombie', 'geek', 'beer', 'advocate']",4,0,9,2,5,5,8,"[('amateur', 'twitter'), ('beer', 'advocate'), ('buff', 'proud'), ('certified', 'travel'), ('expert', 'certified'), ('geek', 'beer'), ('music', 'buff'), ('nerd', 'music'), ('proud', 'zombie'), ('travel', 'nerd'), ('twitter', 'expert'), ('zombie', 'geek')]"
30,"['hipster-friendly', 'coffeeaholic', 'passionate', 'travel', 'scholar', 'amateur', 'alcohol', 'guru', 'zombie', 'buff', 'proud', 'beer', 'expert']",0,6,8,0,1,9,5,"[('alcohol', 'guru'), ('amateur', 'alcohol'), ('beer', 'expert'), ('buff', 'proud'), ('coffeeaholic', 'passionate'), ('guru', 'zombie'), ('hipster-friendly', 'coffeeaholic'), ('passionate', 'travel'), ('proud', 'beer'), ('scholar', 'amateur'), ('travel', 'scholar'), ('zombie', 'buff')]"
31,"['music', 'evangelist', 'wannabe', 'troublemaker', 'alcohol', 'junkie', 'lifelong', 'twitter', 'geek', 'typical', 'web', 'trailblazer', 'internet', 'practitioner']",2,2,7,5,4,6,2,"[('alcohol', 'junkie'), ('evangelist', 'wannabe'), ('geek', 'typical'), ('internet', 'practitioner'), ('junkie', 'lifelong'), ('lifelong', 'twitter'), ('music', 'evangelist'), ('trailblazer', 'internet'), ('troublemaker', 'alcohol'), ('twitter', 'geek'), ('typical', 'web'), ('wannabe', 'troublemaker'), ('web', 'trailblazer')]"
32,"['internet', 'advocate', 'general', 'reader', 'passionate', 'entrepreneur', 'infuriatingly', 'humble', 'food', 'lover']",1,4,2,1,7,0,3,"[('advocate', 'general'), ('entrepreneur', 'infuriatingly'), ('food', 'lover'), ('general', 'reader'), ('humble', 'food'), ('infuriatingly', 'humble'), ('internet', 'advocate'), ('passionate', 'entrepreneur'), ('reader', 'passionate')]"
33,"['professional', 'thinker', 'award-winning', 'alcohol', 'expert', 'zombie', 'nerd', 'coffee', 'scholar', 'entrepreneur', 'evil', 'tv', 'specialist']",7,1,2,8,3,2,2,"[('alcohol', 'expert'), ('award-winning', 'alcohol'), ('coffee', 'scholar'), ('entrepreneur', 'evil'), ('evil', 'tv'), ('expert', 'zombie'), ('nerd', 'coffee'), ('professional', 'thinker'), ('scholar', 'entrepreneur'), ('thinker', 'award-winning'), ('tv', 'specialist'), ('zombie', 'nerd')]"
34,"['zombie', 'practitioner', 'coffee', 'buff', 'total', 'travel', 'nerd', 'music', 'aficionado', 'devoted', 'alcohol', 'expert']",9,7,8,7,7,7,1,"[('aficionado', 'devoted'), ('alcohol', 'expert'), ('buff', 'total'), ('coffee', 'buff'), ('devoted', 'alcohol'), ('music', 'aficionado'), ('nerd', 'music'), ('practitioner', 'coffee'), ('total', 'travel'), ('travel', 'nerd'), ('zombie', 'practitioner')]"
35,"['friendly', 'writer', 'introvert', 'wannabe', 'beer', 'trailblazer', 'zombie', 'fanatic', 'creator', 'organizer']",7,5,4,6,0,3,0,"[('beer', 'trailblazer'), ('creator', 'organizer'), ('fanatic', 'creator'), ('friendly', 'writer'), ('introvert', 'wannabe'), ('trailblazer', 'zombie'), ('wannabe', 'beer'), ('writer', 'introvert'), ('zombie', 'fanatic')]"
36,"['wannabe', 'food', 'trailblazer', 'evil', 'introvert', 'student', 'alcohol', 'maven', 'travel', 'advocate', 'troublemaker']",2,6,2,1,8,1,9,"[('advocate', 'troublemaker'), ('alcohol', 'maven'), ('evil', 'introvert'), ('food', 'trailblazer'), ('introvert', 'student'), ('maven', 'travel'), ('student', 'alcohol'), ('trailblazer', 'evil'), ('travel', 'advocate'), ('wannabe', 'food')]"
37,"['friendly', 'introvert', 'troublemaker', 'subtly', 'charming', 'alcohol', 'specialist', 'gamer', 'analyst', 'writer']",6,3,7,7,9,7,9,"[('alcohol', 'specialist'), ('analyst', 'writer'), ('charming', 'alcohol'), ('friendly', 'introvert'), ('gamer', 'analyst'), ('introvert', 'troublemaker'), ('specialist', 'gamer'), ('subtly', 'charming'), ('troublemaker', 'subtly')]"
38,"['unapologetic', 'travel', 'lover', 'amateur', 'bacon', 'fanatic', 'zombie', 'trailblazer', 'typical', 'tv', 'nerd', 'subtly', 'charming', 'alcohol', 'fanatic', 'hipster-friendly', 'food', 'scholar']",6,7,1,4,0,3,5,"[('amateur', 'bacon'), ('charming', 'alcohol'), ('food', 'scholar'), ('hipster-friendly', 'food'), ('lover', 'amateur'), ('nerd', 'subtly'), ('subtly', 'charming'), ('trailblazer', 'typical'), ('travel', 'lover'), ('tv', 'nerd'), ('typical', 'tv'), ('unapologetic', 'travel'), ('zombie', 'trailblazer'), ('alcohol', 'fanatic'), ('bacon', 'fanatic'), ('fanatic', 'hipster-friendly'), ('fanatic', 'zombie')]"
39,"['unapologetic', 'introvert', 'award-winning', 'beer', 'specialist', 'creator', 'lifelong', 'food', 'junkie']",5,3,0,9,9,4,1,"[('award-winning', 'beer'), ('beer', 'specialist'), ('creator', 'lifelong'), ('food', 'junkie'), ('introvert', 'award-winning'), ('lifelong', 'food'), ('specialist', 'creator'), ('unapologetic', 'introvert')]"
40,"['travel', 'nerd', 'typical', 'problem', 'solver', 'communicator', 'entrepreneur', 'pop', 'culture', 'ninja', 'proud', 'twitteraholic', 'unapologetic', 'web', 'aficionado']",7,1,7,0,8,1,8,"[('communicator', 'entrepreneur'), ('culture', 'ninja'), ('entrepreneur', 'pop'), ('nerd', 'typical'), ('ninja', 'proud'), ('pop', 'culture'), ('problem', 'solver'), ('proud', 'twitteraholic'), ('solver', 'communicator'), ('travel', 'nerd'), ('twitteraholic', 'unapologetic'), ('typical', 'problem'), ('unapologetic', 'web'), ('web', 'aficionado')]"
41,"['total', 'internet', 'maven', 'extreme', 'beer', 'geek', 'music', 'fanatic', 'food', 'ninja', 'amateur', 'communicator', 'typical', 'alcohol', 'buff', 'tv', 'junkie']",9,4,8,5,7,7,9,"[('alcohol', 'buff'), ('amateur', 'communicator'), ('beer', 'geek'), ('buff', 'tv'), ('communicator', 'typical'), ('extreme', 'beer'), ('fanatic', 'food'), ('food', 'ninja'), ('geek', 'music'), ('internet', 'maven'), ('maven', 'extreme'), ('music', 'fanatic'), ('ninja', 'amateur'), ('total', 'internet'), ('tv', 'junkie'), ('typical', 'alcohol')]"
42,"['unapologetic', 'pop', 'culture', 'specialist', 'social', 'mediaholic', 'incurable', 'web', 'fanatic', 'tv', 'trailblazer', 'zombie', 'nerd', 'twitter', 'fan']",1,6,6,2,0,1,2,"[('culture', 'specialist'), ('fanatic', 'tv'), ('incurable', 'web'), ('mediaholic', 'incurable'), ('nerd', 'twitter'), ('pop', 'culture'), ('social', 'mediaholic'), ('specialist', 'social'), ('trailblazer', 'zombie'), ('tv', 'trailblazer'), ('twitter', 'fan'), ('unapologetic', 'pop'), ('web', 'fanatic'), ('zombie', 'nerd')]"
43,"['explorer', 'wannabe', 'introvert', 'pop', 'culture', 'enthusiast', 'hardcore', 'foodaholic', 'student', 'hipster-friendly', 'gamer']",7,9,6,5,0,3,2,"[('culture', 'enthusiast'), ('enthusiast', 'hardcore'), ('explorer', 'wannabe'), ('foodaholic', 'student'), ('hardcore', 'foodaholic'), ('hipster-friendly', 'gamer'), ('introvert', 'pop'), ('pop', 'culture'), ('student', 'hipster-friendly'), ('wannabe', 'introvert')]"
44,"['lifelong', 'zombie', 'advocate', 'certified', 'pop', 'cultureaholic', 'communicator', 'typical', 'web', 'guru', 'coffee', 'nerd']",0,9,0,2,2,2,8,"[('advocate', 'certified'), ('certified', 'pop'), ('coffee', 'nerd'), ('communicator', 'typical'), ('cultureaholic', 'communicator'), ('guru', 'coffee'), ('lifelong', 'zombie'), ('pop', 'cultureaholic'), ('typical', 'web'), ('web', 'guru'), ('zombie', 'advocate')]"
45,"['extreme', 'reader', 'bacon', 'guru', 'travel', 'practitioner', 'twitter', 'maven', 'thinker', 'pop', 'culture', 'expert']",4,4,2,0,8,4,6,"[('bacon', 'guru'), ('culture', 'expert'), ('extreme', 'reader'), ('guru', 'travel'), ('maven', 'thinker'), ('pop', 'culture'), ('practitioner', 'twitter'), ('reader', 'bacon'), ('thinker', 'pop'), ('travel', 'practitioner'), ('twitter', 'maven')]"
46,"['explorer', 'social', 'medium', 'buff', 'evil', 'bacon', 'nerd', 'friendly', 'zombie', 'evangelist', 'typical', 'travel', 'advocate']",4,9,7,6,0,6,2,"[('bacon', 'nerd'), ('buff', 'evil'), ('evangelist', 'typical'), ('evil', 'bacon'), ('explorer', 'social'), ('friendly', 'zombie'), ('medium', 'buff'), ('nerd', 'friendly'), ('social', 'medium'), ('travel', 'advocate'), ('typical', 'travel'), ('zombie', 'evangelist')]"
47,"['passionate', 'bacon', 'practitioner', 'twitter', 'nerd', 'unable', 'type', 'boxing', 'glove', 'travel', 'fanatic', 'internet', 'aficionado', 'devoted', 'coffee', 'buff', 'music', 'lover']",5,7,0,4,8,0,9,"[('aficionado', 'devoted'), ('bacon', 'practitioner'), ('boxing', 'glove'), ('buff', 'music'), ('coffee', 'buff'), ('devoted', 'coffee'), ('fanatic', 'internet'), ('glove', 'travel'), ('internet', 'aficionado'), ('music', 'lover'), ('nerd', 'unable'), ('passionate', 'bacon'), ('practitioner', 'twitter'), ('travel', 'fanatic'), ('twitter', 'nerd'), ('type', 'boxing'), ('unable', 'type')]"
48,"['award-winning', 'twitter', 'buff', 'subtly', 'charming', 'bacon', 'maven', 'friend', 'animal', 'everywhere', 'zombie', 'geek']",1,3,3,8,4,4,4,"[('animal', 'everywhere'), ('award-winning', 'twitter'), ('bacon', 'maven'), ('buff', 'subtly'), ('charming', 'bacon'), ('everywhere', 'zombie'), ('friend', 'animal'), ('maven', 'friend'), ('subtly', 'charming'), ('twitter', 'buff'), ('zombie', 'geek')]"
49,"['passionate', 'thinker', 'web', 'buff', 'devoted', 'travel', 'specialist', 'evil', 'food', 'ninja', 'freelance', 'explorer', 'reader', 'amateur', 'problem', 'solver']",3,1,7,3,4,5,3,"[('amateur', 'problem'), ('buff', 'devoted'), ('devoted', 'travel'), ('evil', 'food'), ('explorer', 'reader'), ('food', 'ninja'), ('freelance', 'explorer'), ('ninja', 'freelance'), ('passionate', 'thinker'), ('problem', 'solver'), ('reader', 'amateur'), ('specialist', 'evil'), ('thinker', 'web'), ('travel', 'specialist'), ('web', 'buff')]"
50,"['zombie', 'guru', 'alcohol', 'ninja', 'student', 'gamer', 'evil', 'travel', 'fanatic', 'twitter', 'lover', 'communicator', 'troublemaker']",5,2,3,7,6,1,9,"[('alcohol', 'ninja'), ('communicator', 'troublemaker'), ('evil', 'travel'), ('fanatic', 'twitter'), ('gamer', 'evil'), ('guru', 'alcohol'), ('lover', 'communicator'), ('ninja', 'student'), ('student', 'gamer'), ('travel', 'fanatic'), ('twitter', 'lover'), ('zombie', 'guru')]"
51,"['subtly', 'charming', 'internet', 'guru', 'lifelong', 'web', 'nerd', 'infuriatingly', 'humble', 'writer']",1,7,7,9,5,7,3,"[('charming', 'internet'), ('guru', 'lifelong'), ('humble', 'writer'), ('infuriatingly', 'humble'), ('internet', 'guru'), ('lifelong', 'web'), ('nerd', 'infuriatingly'), ('subtly', 'charming'), ('web', 'nerd')]"
52,"['problem', 'solver', 'internet', 'evangelist', 'devoted', 'social', 'medium', 'fanatic', 'passionate', 'twitter', 'geek']",3,6,8,9,3,1,3,"[('devoted', 'social'), ('evangelist', 'devoted'), ('fanatic', 'passionate'), ('internet', 'evangelist'), ('medium', 'fanatic'), ('passionate', 'twitter'), ('problem', 'solver'), ('social', 'medium'), ('solver', 'internet'), ('twitter', 'geek')]"
53,"['troublemaker', 'proud', 'web', 'guru', 'general', 'communicator', 'coffee', 'expert']",7,4,3,9,0,1,5,"[('coffee', 'expert'), ('communicator', 'coffee'), ('general', 'communicator'), ('guru', 'general'), ('proud', 'web'), ('troublemaker', 'proud'), ('web', 'guru')]"
54,"['web', 'maven', 'beeraholic', 'freelance', 'music', 'trailblazer', 'tv', 'fanatic', 'lifelong', 'internet', 'geek']",5,2,8,8,8,8,1,"[('beeraholic', 'freelance'), ('fanatic', 'lifelong'), ('freelance', 'music'), ('internet', 'geek'), ('lifelong', 'internet'), ('maven', 'beeraholic'), ('music', 'trailblazer'), ('trailblazer', 'tv'), ('tv', 'fanatic'), ('web', 'maven')]"
55,"['organizer', 'hardcore', 'web', 'guru', 'certified', 'coffee', 'ninja', 'amateur', 'explorer', 'tv', 'maven', 'wannabe', 'twitter', 'practitioner', 'food', 'expert', 'gamer']",6,9,3,9,0,1,9,"[('amateur', 'explorer'), ('certified', 'coffee'), ('coffee', 'ninja'), ('expert', 'gamer'), ('explorer', 'tv'), ('food', 'expert'), ('guru', 'certified'), ('hardcore', 'web'), ('maven', 'wannabe'), ('ninja', 'amateur'), ('organizer', 'hardcore'), ('practitioner', 'food'), ('tv', 'maven'), ('twitter', 'practitioner'), ('wannabe', 'twitter'), ('web', 'guru')]"
56,"['pop', 'culture', 'ninja', 'avid', 'reader', 'food', 'scholar', 'internet', 'fanatic', 'analyst', 'proud', 'problem', 'solver']",4,7,0,4,4,6,8,"[('analyst', 'proud'), ('avid', 'reader'), ('culture', 'ninja'), ('fanatic', 'analyst'), ('food', 'scholar'), ('internet', 'fanatic'), ('ninja', 'avid'), ('pop', 'culture'), ('problem', 'solver'), ('proud', 'problem'), ('reader', 'food'), ('scholar', 'internet')]"
